Species,Habitat
ALFONSINO ,Pelagic
AMBERJACKS **,Deep
"BARRACUDAS, SPHYRAENIDAE (FAMILY) **",Reef
BILLFISHES **,Pelagic
BLACK MARLIN,Pelagic
"BUTTERFLYFISHES, CHAETODONTIDAE (FAMILY) **",Reef
"CABRILLA, SPOTTED ",Reef
CORALS **,Reef
"CRABS, DECAPODA (ORDER) **",Reef
CRUSTACEANS **,Reef
"CUCUMBERS, SEA **",Reef
DOLPHINFISH ,Pelagic
EELS **,Reef
EMPERORS **,Reef
ESCOLAR ,Pelagic
FLYINGFISHES **,Pelagic
GOATFISHES **,Reef
"GROUPERS, SERRANIDAE (FAMILY) **",Reef
"HERRING, LAKE OR CISCO ",Freshwater
"HERRING, ROUND ",Reef
HERRINGS **,Reef
"JACK, ALMACO ",Pelagic
"JACK, BLACK ",Reef
JACKS **,Reef
"JOBFISH, GREEN /UKU ",Reef
"LEATHERSKIN, LARGEMOUTHED ",Reef
LIMPETS **,Reef
"LOBSTER, BANDED SPINY ",Reef
"LOBSTER, CARIBBEAN SPINY ",NWHI
"LOBSTERS, SLIPPER **",Reef
"MACKEREL, CHUB ",Pelagic
"MACKEREL, FRIGATE ",Pelagic
"MACKEREL, SNAKE ",Pelagic
"MARLIN, BLUE ",Pelagic
MILKFISH ,Reef
"MULLET, STRIPED ",Freshwater
MULLETS **,Freshwater
OCTOPUSES **,Reef
OILFISH ,Pelagic
OPAH ,Pelagic
PARROTFISHES **,Reef
POMFRETS **,Pelagic
"PUFFERS, SPHOEROIDES (GENUS) **",Reef
RAYS **,Reef
RUDDERFISH **,Reef
"RUNNER, RAINBOW ",Reef
SAILFISH ,Pelagic
"SCAD, BIGEYE ",Reef
"SCAD, MACKEREL ",Reef
SCORPIONFISHES **,Reef
"SEA BASS, GIANT ",Deep
SEAWEED,Reef
"SHARK, WHITETIP, OCEANIC ",Pelagic
"SHARKS, CHONDRICHTHYES (CLASS) **",Reef
"SHARKS, HAMMERHEAD **",Reef
"SHARKS, MAKO **",Pelagic
"SHARKS, THRESHER **",Pelagic
"SHRIMP, MARINE **",Deep
"SHRIMPS, PENAEID **",Deep
"SHRIMPS, PENAEOID **",Deep
"SNAPPER, GLASSEYE ",Reef
"SNAPPER, RED ",Deep
"SNAPPERS, LUTJANIDAE (FAMILY) **",Deep
SPEARFISHES **,Pelagic
"SQUID, JUMBO ",Pelagic
"SQUIDS, LOLIGINIDAE **",Reef
SQUIRRELFISHES **,Reef
STRIPED MARLIN,Pelagic
"SUNFISH, OCEAN ",Pelagic
SURGEONFISHES **,Reef
SWORDFISH ,Pelagic
"TENPOUNDER, HAWAIIAN",Reef
THREADFINS **,Reef
TILAPIAS **,Freshwater
TRIGGERFISHES **,Reef
"TUNA, ALBACORE ",Pelagic
"TUNA, BIGEYE ",Pelagic
"TUNA, BLUEFIN PACIFIC ",Pelagic
"TUNA, KAWAKAWA ",Pelagic
"TUNA, LITTLE TUNNY ",Pelagic
"TUNA, SKIPJACK ",Pelagic
"TUNA, YELLOWFIN ",Pelagic
TUNAS **,Pelagic
"URCHINS, SEA, STRONGYLOCENTROTUS (GENUS) **",Reef
"VERTEBRATES, JAWED",NA
WAHOO ,Pelagic