Year,MAF,LOB,BG,BFF,BC,BIV,OCT,CEP,DFF,SHP,PIS,SHR,UKU,RBC,RBP,RBR,RGR,ROF,RPA,RLP,RSP,MBC,MBP,MPL,SBC,SPL,BFB,BFW,RCO,BD
1996,0,0,0,0,0,0,79.37866475,3494.475618,0,778.8180993,20706.49169,4906.055074,12666.56693,278.9593076,13.6077711,50.34875307,117.4804238,177.3546167,0,290.7527092,8.61825503,7445.718754,957.5334931,1801.215301,899.4736697,0.90718474,15441.19146,90545.20171,0,0
1997,0,0,0,0,0,0,4.08233133,1571.24397,0,235.8680324,14260.71732,3977.0979,9148.100813,102.0582833,0,134.2633415,79.83225712,39.46253619,0,390.9966229,6.80388555,4531.387776,1029.019651,1100.41509,1183.422493,0,14662.99025,87160.47277,0,0
1998,0,0,0,0,0,0,3.62873896,1735.761922,0,410.0475025,13970.32748,4172.142619,11909.54395,155.1285905,13.15417873,131.0881949,74.38914868,41.73049804,0,308.4428116,14.06136347,4833.026702,1168.000353,1104.951013,1208.370074,54.4310844,15504.27255,88911.57972,0,0
1999,0,1.81436948,0,0,0,0,0,830.5276295,0,214.549191,18127.27476,26739.27021,9987.441743,103.8726527,0,13.6077711,60.78137758,103.8726527,12.24699399,323.8649522,9.97903214,3930.604682,976.1307802,426.8304202,1278.223299,240.8575485,14488.81531,84088.12835,0,0
2000,0,0,0,0,0,0,0,962.9766015,0,85.27536556,12110.96164,32594.24052,13506.85133,60.78137758,1.36077711,9.0718474,58.51341573,0.45359237,0,541.5892898,5.44310844,4023.817914,687.7049999,186.8800564,980.2131116,9.52543977,11994.32943,81187.96307,0,0
2001,0,5.44310844,0,0,0,0,0,1195.215895,0,261.7227975,16300.34077,3371.552086,13871.30827,154.2214058,2.26796185,48.08079122,87.08973504,6.80388555,0,246.7542493,11.33980925,2909.341461,890.1750261,309.8035887,905.3703705,18.59728717,19183.02914,96185.8587,0,0
2002,0,0,0,0,0,0,0,513.0129705,0,259.908428,12081.43277,2524.695131,7872.095581,134.2633415,4.98951607,11.33980925,8.61825503,19.05087954,0,263.9907593,15.87573295,2484.779003,654.0801975,414.1298338,2187.676001,31.7514659,13357.46522,65849.76883,0,0
2003,0,0,0,19.05087954,0,0,109.1343242,968.6465061,0,1997.257924,11313.81841,1610.706506,5334.745223,224.7096601,4.309127515,71.21400209,26.98874602,296.7854877,4.762719885,160.6624175,43.54486752,1849.968921,581.4146999,1973.12681,1149.221629,40.36972093,9786.04673,71064.97432,0,0
2004,0,0,0,0,0,0,54.02285127,522.0848179,0,7871.505911,11028.05521,1118.25639,7699.367607,305.5625001,2.72155422,32.38649522,54.19780832,685.6955857,8.16466266,182.4802105,1.81436948,2725.21283,757.9528503,2455.431577,1701.016747,297.2844393,8880.77615,74058.54335,0,0
2005,0,0,0,0,0,0,43.99845989,90.26488163,0,5183.33609,11107.55673,625.5038782,11240.74468,292.7938748,12.11091628,60.05562979,81.19303423,564.3596268,3.62873896,211.6008406,150.048356,2362.232727,614.2547875,4419.713335,1783.422544,48.98797596,10906.06608,70759.3846,0,0
2006,0,0,0,0,0,0,481.9418931,193.4571458,0,4985.97805,12158.1806,801.724514,10040.50751,365.5047317,5.624545388,61.68856232,113.8516849,388.0029133,33.79263157,147.9618311,4.762719885,2244.737921,652.9462166,3154.190623,4732.93701,51.34665628,11983.84691,65186.41267,0,0
2007,0,0,0,0,0,0,285.173523,211.0565298,0,5740.665035,8434.005809,1048.932356,11533.14393,250.6097844,3.62873896,31.84218437,15.96645142,628.4068694,2.72155422,72.2119053,15.1953444,2647.210431,420.3440493,2976.337054,3901.529411,60.73601834,9532.679104,55913.44694,0,0
2008,0,0,0,0,2.72155422,0,571.5717454,342.4168801,0,8816.474896,19108.53113,1346.791345,15311.96299,346.7713669,0.90718474,22.3167446,81.14767499,351.8062422,40.59651712,187.4697265,0,2701.36936,359.2905163,2507.594699,1651.348382,66.04304907,8732.696385,56184.87208,0,0
2009,0,0,0,0,0,0,403.5611316,408.6867254,0,5204.019902,14023.39779,1518.022465,14704.37601,516.8231464,7.25747792,37.55744824,50.66626773,572.3882117,0,168.1920508,9.480080533,2970.576431,427.1176953,5457.578037,16952.92411,51.93632637,10150.26326,63752.90656,0,0
2010,0,0,0,0,0,0,733.0052699,1654.43281,0,9539.649582,12711.29114,1723.726605,11552.86159,973.7720999,11.29445001,47.03752877,37.33065205,541.4078528,4.672001411,241.0843447,8.16466266,3597.04281,683.2461869,4679.712481,14942.60273,48.39830588,16656.81901,92915.58472,0,0
2011,0,4.98951607,0,0,1.16594207,0.045359237,111.4022861,2322.574371,0,8342.062636,18718.30561,3292.400218,23274.86777,751.783994,24.17647332,95.6172716,136.0323518,754.2333928,21.54563758,1120.48449,0.771107029,4747.845374,444.792678,5233.911639,19667.40229,157.5326301,14078.10103,75825.81179,0,0
2012,0,0,0,0,0.226796185,0,98.88313666,1000.307254,0,5340.415127,15871.5599,2553.725043,17370.50125,612.1682626,7.25747792,65.0905051,298.1462648,472.7793273,79.37866475,797.4153865,7.25747792,3677.753488,417.032825,3357.581441,5022.582954,72.48406073,11114.69136,58691.76825,0,27.2155422
2013,0,0,0,0,0,0,28.57631931,1166.95709,0,8610.634678,19463.92075,3025.763503,16368.19819,757.4992579,24.81150264,51.1198601,201.5764492,326.0875548,136.6673811,430.3684407,29.21134863,4384.696004,591.3030135,4761.086952,4874.394326,167.1487883,14581.22569,68949.26075,0,0
2014,0,0,0,0,0,0,70.80576896,1422.60175,0,13114.03581,14838.63936,1595.057569,18466.60721,1105.404606,35.69771952,38.64606992,171.4125566,314.6570271,22.81569621,505.3019002,45.359237,4863.145236,502.2174721,8299.01672,19263.20613,268.2998869,16672.01436,82983.0458,0,0
2015,0,1.81436948,0,0,0,0,14.96854821,1614.244526,0,19630.79739,15719.37966,1705.053719,20863.66145,1126.496651,66.67807839,35.87915647,294.7896813,445.2009112,5.89670081,288.2579511,5.89670081,4775.556549,417.7585728,8110.821246,19295.9364,226.2065149,14575.78258,100984.1312,0,0
2016,0,2.540117272,0,0,0,0,10.43262451,245.0305983,0,18453.95198,16455.56008,2110.565298,22502.17316,955.6737644,51.02914163,9.434721296,195.4983115,343.5962203,80.51264568,293.2474672,9.207925111,3631.067401,444.3844449,6731.900441,14258.00531,197.902351,16375.13815,78269.17781,0,0
2017,0,3.62873896,0,0,0,0,2.494758035,222.7592129,0,12658.0394,16216.35058,2325.976314,26740.13204,1174.214568,27.2155422,25.62796891,172.1383044,580.5075151,161.7963984,238.9524605,4.5359237,4540.006031,475.7730369,7160.409153,15602.08067,118.2515309,13972.05113,69943.62594,0,0
,0,0,0,0,0,0,74.70666334,213.6873655,0,11171.57184,20089.15247,2079.176706,24544.97176,1348.484757,41.95729423,32.15969903,255.690019,613.8011951,61.46176614,68.31101092,2.26796185,4914.310455,358.1565354,8517.965757,12309.77117,200.3971091,12062.88085,87919.53692,0,0