GEO_ID,GEO_ID2,SUMLEVEL,GEO_NAME,Geography,REGION,PRIMARY_LATITUDE,PRIMARY_LONGITUDE,TOTPOP,PCTMALES,PCTFEMALE,POPCHPCT,POPDENS,POP0_5PCT,POP85PCT,MEDAGE,POPWAPCT,POPBAPCT,POPNAPCT,POPAAPCT,POPPAPCT,POPHSPCT,POPWNPCT,TOTHU,PCTVACANT,HMOWNVAC,RENTVAC,PCTMBLHM,PCTBLT2014,PCTBLT2010_13,PCTBLT2000_09,HUMNR,PCTOWNER,PCTRENTER,MOV2017,MOV2015_2016,MOV2010_14,MOV2000_09,PCTNOVHCL,HOUSHEATFUEL,PCTNOPLBG,MEDHOMVAL,MED_MTMRG,OWNRMTHLYCST,MED_GRRNT,RENTRMTHLYCST,TOTHH,PCTHFOFMNOHS,PCTHHUNDR18,PCTHHUOVER65,AVGHHSZE,PCTMALESEPARATD,PCTMALEDIVORCD,PCTFEMALESEPARATD,PCTFEMALEDIVORCD,PCTPOP9THGRD,PCTNODIPLOMA,PCTPOPHSGRD,PCTBATCHLRS,PCTLIVESMHS,PCTLIVEDRCO,PCTLIVDFST,PCTFORBRN,PCTSPKENGNTWL,PCTLABFORCE,PCTEMPLOYED,PCTUNEMPLD,PCTLABFEMALE,PCTEMPFEMA,MEANTRAVTIM,PCTSERVOCC,PCTFRMFSHOCC,PCTAGRFRFSH,PCTSERVIND,PCTSLFEMP,PCTHHHUNDR10K,PCTHH200K,MEDHHINC,MEANHHINC,PCTRECSOC,PCTRECRET,MEANRETINC,PCTRECSSI,PUBLICASSIST,PERCPHHINC,PCTFMINPOV,PCTPOV,PCTCHLDPOV,PCT65POV,MEDDWELLAGE,MDYRSRESID,HASMORTGAGE,HSMORTGAGELON,PCTGRPQRTRS,GINIINDX,PCTCHGRNT,PCTCHGMRG,PCTCHNGHOMVAL,PCTCHGRENTER,PCTCHGUNEM,PCTCHGRAVTIM,PCTWTRCVG,NEARCTYPOP,CSTOFLIVNG,MARINANUM,NUMBOTRMPS,EPAREGFAC,CRIMINDEX,HAILRSKAVG,HURRSKAVG,TORNRSKAVG,WNDRSKAVG,POUNDS_18,VALUE_18,DEALERNUM_18,COMMPMT_18,PNDSPRPOP_18,VALUPRPOP_18,DEALERNUMPRPOP_18,COMMPRPOP_18,RECPSSRMODESH_18,RECPSSRMODECH,RECPSSRMODEPR_18,RECPSSRMODESHPOP_18,RECPSSRMODECHPOP_18,RECPSSRMODEPRPOP_18
0600000US1500190630,1500190630,60,Hilo,Hawaii County,Hawaii,19.6868952,-155.2344328,48774,49.3,50.7,14.96523276,163.5502746,5.2,3.6,40.4,18.9,0.7,0.3,32.2,10.1,10.6,16.3,19198,12,1.6,5.6,0.2,0.5,1.8,8.9,5.1,61.4,38.6,2.9,10.1,24.6,23,6.7,0.1,0.9,318700,1507,22,1016,46.3,16900,14.6,27.7,38.7,2.76,1.7,8,1.4,11.6,1.8,5.6,29.9,22.3,90.4,0.9,2,8.3,5,55.8,52.2,3.3,54,50.7,17.2,19.6,1.012900143,2.7,10.8,8.1,8.6,3.4,59725,74308,40.8,28.1,28229,8,5.5,27635,12.5,19,27.6,9.3,40,13,56.7,0.347121782,4.309673187,0.461,86.42201835,31.38622493,107.3519844,-0.129425837,-45,-3.910614525,8.413965574,209.3,5,1,1,661,93.87879,0,34.09091,4,0,210443,661727,12,95,4314.655349,13567.20794,0.246032722,1.947759052,27,1,9,0.553573625,0.020502727,0.184524542
0600000US1500190720,1500190720,60,Honokaa-Kukuihaele,Hawaii County,Hawaii,20.1072972,-155.5725782,4152,49.8,50.2,6.598202824,35.99473593,6,1.9,43.5,28.3,0.2,0,30.6,8.9,14.1,25.5,1445,18.1,3.2,1.4,0.6,0.3,1.5,11,5.1,71.2,28.8,2.7,4.6,18.8,25.8,5.2,0,1.9,358300,1636,28.9,863,36.8,1184,22.9,35.5,52.6,3.47,1,8.6,3.9,12.8,6.1,3.6,42.6,11.9,86.9,0.3,0.2,19.2,10.1,62.6,57.4,5.2,60.5,56.8,39.9,35.8,11.28307539,14,29.7,6.2,4.7,4.7,64000,76639,53.4,34.2,14664,4.4,2.2,25023,6.1,14.3,22.6,9.8,45,17,64.8,1.18623962,1.180154143,0.3917,41.70771757,55.66127498,128.5076531,-8.452173913,33.33333333,24.29906542,37.75079312,175,5,0,0,58,114.66667,0,31.66667,0,0,19454,45410,0,11,4685.452794,10936.89788,0,2.649325626,0,2,0,0,0.481695568,0
0600000US1500191170,1500191170,60,Kau,Hawaii County,Hawaii,19.2356053,-155.5438316,9473,49.9,50.1,62.57079114,10.18908955,10.9,1.6,39.3,34.6,0.8,0.3,15.8,12.6,19.7,31.2,4171,26.6,4.8,7.3,1.3,0.9,7.5,31.6,4.1,76.6,23.4,3.8,8.9,29.3,24.2,4.7,0.2,6.8,166900,1076,28.9,960,76.6,3060,12.8,32.2,38.6,3.08,1.5,10,3.6,10.9,4.5,5.1,41.8,13.1,88.8,0.2,5.6,13.5,10.4,49.1,41.9,7.2,41.4,36,35.6,22,9.836065574,20.2,7.4,14.1,21.9,1.7,36667,49057,53.2,21.2,19189,8.7,2.6,17683,29.1,34.7,47,16.8,24,11,46,0,0.380027446,0.5173,122.737819,43.65821095,92.50288351,-9.155360281,-16.27906977,-16.23529412,21.98805961,209.1,5,0,2,92,113,0,30,0,0,78783,312573,2,30,8316.583976,32996.19973,0.211126359,3.166895387,30,0,0,3.166895387,0,0
0600000US1500191350,1500191350,60,Keaau-Mountain View,Hawaii County,Hawaii,19.5585499,-155.0949534,35553,49.8,50.2,56.35939836,152.8878275,4.9,2.4,41.4,34.1,0.3,0.8,18.9,15.8,18.4,30.7,15005,16.5,1.5,2.2,0.4,0.9,1.7,28.3,4.8,75.7,24.3,3.6,9.1,22.7,35.4,3.3,0,2.7,232200,1367,30.6,1076,52.7,12532,13.8,28.7,34.4,2.83,1.7,11.6,1.8,13.9,2.6,4.9,34.1,15.4,93.1,0.6,1.5,9.1,6,50.9,48.1,2.7,50.2,48.2,29.8,21.8,2.864357864,4.8,14.1,11.3,10.4,2.1,47156,60928,37.7,19.9,23512,8.6,4,22963,14.9,20.3,25.2,11.4,26,12,57,0.179192579,0.154698619,0.4524,72.16,52.05784205,112.2486289,-12.18490311,-55.73770492,-3.246753247,14.48086002,214.9,5,0,0,132,98.26667,0,33.46667,3.2,0,276675,1055134,1,55,7782.043709,29677.77684,2.81E-02,1.54698619,6,0,0,0.16876213,0,0
0600000US1500192430,1500192430,60,North Hilo,Hawaii County,Hawaii,19.5103591,-155.5478792,1510,52.4,47.6,-12.20930233,4.708485173,3.9,4.4,53.2,35.2,0.8,2.4,40,0.5,14.4,29.5,857,31.7,3.3,11.6,0.8,0,2.5,16.1,5,80.3,19.7,5,5.6,21,31.8,4.4,0,0,307100,1840,70.3,1004,41.9,585,7.5,19.3,38.1,2.58,4,10.2,0.6,10.6,1,7,31.5,18.1,87.7,0,4.9,20.3,7.3,50.4,47.7,2.8,49.7,47.7,39.5,29.6,6.953642384,11.4,23.2,17.2,3.2,4.8,45101,67768,48.9,22.1,29564,6.5,0.7,29469,19.3,17.2,25.2,12,47,14,46.6,0,0,0.5149,39.25104022,125.4901961,178.1702899,-7.394488189,21.73913043,5.333333333,13.30479419,193,5,0,1,37,192,0,33.5,3.5,0,2031,7293,0,3,1345.033113,4829.801325,0,1.986754967,9,1,0,5.960264901,0.662251656,0
0600000US1500192520,1500192520,60,North Kohala,Hawaii County,Hawaii,20.176362,-155.8227292,6045,48.3,51.7,0.115932428,42.88150754,6.1,2.4,43.5,35.6,0.2,0,20.8,12.5,12.7,33.1,2576,21.9,1.2,6.7,0,0.7,1.9,25.2,5,68.2,31.8,5.8,5.6,26,33.8,3.9,0,1.6,422900,1788,27.1,1250,32.8,2013,13.7,31.7,37.7,2.99,0.7,9.9,2.8,12.1,2.8,2.3,37.9,20.3,86.5,1,1.9,14.7,6.8,65.5,60.1,5.3,65.2,58.7,31.9,40.7,2.017094017,6.3,35.4,16.5,3.5,5.6,73482,81133,40.7,21.5,18729,3.8,0.7,28883,10,15.5,22.4,3.5,28,12,62.2,0,0.347394541,0.3899,69.14749662,43.61445783,139.0616167,7.286705202,103.8461538,6.688963211,46.52466569,151.7,5,0,0,40,127.5,0,25.5,0,0,43153,173577,2,11,7138.626964,28714.14392,0.330851944,1.819685691,2,0,0,0.330851944,0,0
0600000US1500192610,1500192610,60,North Kona,Hawaii County,Hawaii,19.6685679,-155.9187231,43631,51.6,48.4,52.86059629,89.32153271,6.6,1.8,43.4,43.9,0.9,0.3,19.7,13.2,11.3,40.1,20447,26.3,3.3,16.8,0.2,0.8,2.8,24.1,4.6,61.8,38.2,5,15.6,32,25.9,4.9,0.1,0.4,517000,2281,32.1,1367,35.3,15073,8,27,37.8,2.84,1.7,10.6,0.7,12.4,1.9,6.3,26.6,21.8,84.5,0.7,5.1,15.7,7.8,65.3,62.9,2.2,62.6,59.6,19.9,25.7,1.008523361,1.8,19,10.9,4.2,6.9,75406,95562,39,20.5,38958,3.4,2.6,35717,7.1,9.6,11,7.1,30,8,63.6,0.30052592,1.838142605,0.4371,83.48993289,60.29515109,121.0346302,-7.896333639,-18.51851852,-2.926829268,19.55319744,165.5,5,1,6,486,104.95,0,25.2,0,0,738267,2296056,14,216,16920.69859,52624.41842,0.320872774,4.950608512,106,3220,555,2.429465288,73.80073801,12.72031354
0600000US1500192700,1500192700,60,Paauhau-Paauilo,Hawaii County,Hawaii,19.8281671,-155.4950421,2520,49.4,50.6,13.87257117,5.4249411,9.4,4.8,45.5,32.3,0,0,31.4,4,12.3,26.3,1045,20.2,6.6,0,1.3,0,2.1,14.9,5.1,74.5,25.5,2.8,3.7,30.5,21.7,3.1,0,1,347900,1611,29.4,1144,59.4,834,12.5,32.9,48,3.02,4.4,7.7,1,5.8,5.9,8.7,37.1,9.2,93.4,0,0.6,12.5,5.4,61.1,57,4,62.4,62,40.6,29,5.952380952,8.1,21.5,11.1,4.6,5.5,50645,68645,51.4,32.6,16204,5.6,0.2,24854,11.6,10.8,23.1,2.6,55,14,52,0,0,0.4394,86.01626016,65.57040082,206.7901235,11.12784091,-14.89361702,2.784810127,8.600098177,181.3,5,0,0,45,78,0,29,0,0,23826,96615,1,8,9454.761905,38339.28571,0.396825397,3.174603175,0,0,0,0,0,0
0600000US1500192790,1500192790,60,Pahoa-Kalapana,Hawaii County,Hawaii,19.427903,-155.0891095,11215,50.9,49.1,30.45248342,41.8612778,6.9,1.4,48.1,51.7,0.7,1.5,8,13.1,16.3,46.5,5755,21.9,0.1,3.3,0.3,0.7,5.3,25.5,4.8,74.3,25.7,6.4,10.9,25.1,30.9,7.8,0,5.2,203700,1286,34.8,1118,58.7,4495,13.5,20.9,41.7,2.49,3.8,15.9,0.9,14.5,1,5.7,26.7,16.1,80.3,0.7,6.5,9.3,5.9,50.2,42.5,7.7,50.2,41.7,31.8,23.3,4.507680685,4.9,8.1,17.1,14.6,2.9,40545,52819,46.1,27,25384,6.3,9.2,22681,18.3,24.3,37.3,16.9,27,10,43,0.149790294,0.169415961,0.4861,83.88157895,75.68306011,136.3109049,-19.21745711,-18.08510638,0.952380952,29.47387301,226.6,5,0,1,76,107.16667,0,32.5,2.666667,0,108801,396036,0,25,9701.382078,35313.06286,0,2.229157379,6,0,0,0.534997771,0,0
0600000US1500192880,1500192880,60,Papaikou-Wailea,Hawaii County,Hawaii,19.8307533,-155.1516688,4162,46.9,53.1,-16.10562387,42.87878021,5.4,5.6,52.6,27.7,0.2,0.2,35.1,8.3,12.3,24,2174,24.9,0.5,7.4,1.1,0.7,0.3,10,5,71.4,28.6,1.7,8,26,18.1,5.6,0,2.8,266700,1652,37,722,31.2,1632,13.2,20.1,48.9,2.54,2.2,10,1,8.3,2.3,6.9,34.3,18.6,93.8,1.7,1,18.9,8.9,51.4,50,1.5,51.3,49.8,31.1,25,1.435956347,5.1,13.6,8.7,8.3,2.9,52719,70761,45.2,25.2,25414,10,4.5,28978,14.6,21.7,39,16.6,45,16,44.7,0,0.552618933,0.4946,47.95081967,72.08333333,98.14264487,4.090020367,-63.41463415,24.4,29.71223063,202.7,5,0,0,61,108.5,0,32.75,4,0,5017,13885,0,6,1205.430082,3336.136473,0,1.441614608,0,0,0,0,0,0
0600000US1500193150,1500193150,60,South Kohala,Hawaii County,Hawaii,19.936748,-155.7519126,19855,46.1,53.9,51.20706725,57.8024352,6.1,1.6,39.2,35.8,1.3,0,19.3,12.9,7.4,34.9,10066,35.5,3.5,20,0,0.6,2,31.2,4.9,63.1,36.9,5.7,15.2,28.1,27.5,2.9,0.1,0.2,451600,1943,32.5,1557,26.3,6495,11.9,35,38.3,3.02,0.7,9.5,1.7,9.9,1.2,4.3,25.4,24.4,80.7,3.3,4.3,13.5,9,66.3,63,3.2,63.3,59.9,29.6,28.1,1.74677112,4.5,23,7.1,6.5,9.9,79792,109222,33.4,16.2,31616,2.1,1.9,37814,7.9,10.1,15.6,6.9,24,8,70.9,0,1.138252329,0.4651,91.98520345,40.28880866,119.223301,-10.25054945,39.13043478,19.35483871,12.78955872,164.7,5,1,2,305,111.71429,0,25.57143,0,0,134237,531748,3,40,6760.866281,26781.56636,0.151095442,2.014605893,40,157,22,2.014605893,7.907328129,1.108033241
0600000US1500193240,1500193240,60,South Kona,Hawaii County,Hawaii,19.3372688,-155.8376215,10768,50.7,49.3,25.36965887,32.68119406,7.2,2.1,47.8,33.8,0.2,0.5,17.9,14.3,7.4,31.6,4362,17.3,1.9,6.7,0.6,0,2.5,16,4.7,64.8,35.2,2.8,11.5,20.2,32.8,4.7,0,5.7,469900,1892,29.2,1048,57.9,3609,11.9,30.6,42.3,2.98,1.1,11.8,0.7,12.3,2.6,4.9,29,17.9,89.9,0.1,2.8,11.6,8.1,57.2,53.5,3.6,53.8,51.3,32.8,22.7,2.8208441,8.5,13.3,11.3,8.5,9.2,57399,98907,45.2,23.3,28830,2.6,5.8,35345,8,11.2,15.5,5.5,35,13,55.6,0,0.269316493,0.5464,83.21678322,43.00831444,120.5068043,-6.900934579,-5.263157895,20.14652015,26.90453211,186.1,5,0,2,93,135.16667,0,23.83333,0,0,211995,597935,1,65,19687.5,55528.88187,9.29E-02,6.03640416,15,7,21,1.393016345,0.650074294,1.950222883
0600000US1500390270,1500390270,60,Ewa,Honolulu County,Hawaii,21.3682481,-158.0214964,344887,50.4,49.6,26.64397344,2094.142204,7,2.2,36.1,16.6,2.7,0.1,46.3,8.1,10.7,14.3,103303,5.4,0.6,4.2,0.1,1.6,3.7,16,5.1,65.7,34.3,5,12.1,26.2,24,4.5,0,0.3,594500,2443,25.2,1968,47.4,97728,12.8,40.5,32.5,3.44,1.1,6.5,1.5,8.6,3.6,3.5,27.4,21.7,86.6,0.2,3.8,19.7,11.7,69,61.2,2.4,63.4,59.7,33.8,21.2,0.402724098,0.7,13.4,3.8,2.9,10.4,95891,110761,31.8,28.2,32679,3.5,2.7,33460,4,6,7.7,6.1,34,11,75.5,0.666801689,2.534163364,0.3665,114.379085,37.17012914,119.6969697,2.537802239,-29.41176471,8.333333333,31.79695263,0,5,1,1,2417,191.80952,0,20.97619,0,0,3979885,15003622,9,186,11539.67821,43503.00823,2.61E-02,0.539307077,72,124,0,0.20876403,0.359538052,0
0600000US1500390810,1500390810,60,Honolulu,Honolulu County,Hawaii,21.3178503,-157.9462169,401549,49.8,50.2,7.862382783,4515.253795,5.3,4,42,19,1.8,0.1,52.3,7.6,7,17.3,170741,14.3,1.3,6.6,0.1,1.4,1.7,7.8,3.9,48.6,51.4,5.4,13.1,29.8,22.2,15,0.1,0.5,713300,2667,31.9,1494,45.6,146287,11.4,25.5,37.5,2.65,1,8.5,1.3,10.7,5.1,5,23,24.4,85.3,0.4,3.3,25.4,19.7,64.6,60.2,2.3,58.9,56.4,24.4,22,0.365661262,0.3,16.6,6.6,6.2,10.4,73447,100446,35.3,21.8,31774,4,2.8,38349,6.6,10.2,11.7,9.8,46,9,59.5,0.477977872,3.49695803,0.4719,96.57894737,30.54331865,84.45823636,-3.204473332,-34.28571429,5.627705628,92.68638158,0,5,8,6,3958,73.89744,0,19.24176,0,0,14916741,56655428,19,231,37147.99688,141092.1905,4.73E-02,0.575272258,459,1212,186,1.143073448,3.018311588,0.463206234
0600000US1500391710,1500391710,60,Koolauloa,Honolulu County,Hawaii,21.6388981,-157.9509804,20738,51.5,48.5,9.730673581,302.0349964,8.2,1.2,30.4,36.8,1.1,0.1,11.4,19,7.5,34.6,6484,23.5,2,3.7,0.3,1,3,10.2,4.9,56.3,43.7,3.8,12.3,26,19.3,4.7,0,0.2,746800,2697,34.9,1657,35.2,4960,13.1,41.4,33.3,3.79,0.8,6.7,0.5,9,1.4,3.2,26.6,25.7,80.1,0.5,7.9,10.3,6.2,65.2,61.2,2.7,57.2,54.5,32.4,25,0.875746961,1.6,18.8,7.8,2.7,12.7,91131,113815,32.8,21.5,32644,4.4,2.3,29555,4.1,7.4,5.9,6,40,12,66.7,0,9.3548076,0.4002,99.15865385,66.5843113,166.9049321,-13.20414747,-46,-3.571428571,60.39163298,18.5,5,0,1,172,192.45455,0,23.72727,0,0,71137,212084,1,16,3430.272929,10226.82997,4.82E-02,0.771530524,5,0,0,0.241103289,0,0
0600000US1500391800,1500391800,60,Koolaupoko,Honolulu County,Hawaii,21.4369085,-157.7454633,112189,51.2,48.8,-4.919741682,1663.451886,5.8,3,38.6,34.7,1.5,0.3,24.8,7.6,9.5,31.5,36600,6.2,0.4,3.1,0.1,0.6,2.9,7.2,5.5,67.7,32.3,4.6,9.9,23.1,19.1,3.5,0.1,0.4,817300,2807,28.3,2320,50.8,34317,11.8,32.9,39.2,3.12,0.7,7.3,0.7,9.4,1.5,3,25.8,24.4,87.7,0.3,5,7.8,4.7,67.2,57,2.2,60.3,57.1,27.8,17,0.533562823,1,10.6,7.4,2.7,15.7,103075,127150,38.3,29,37453,2.5,2.3,41456,3.4,5.6,7.7,4,47,14,68.1,1.033680765,4.673363699,0.4115,120.322887,52.47148289,147.8920231,-4.945254505,-35.29411765,-0.714285714,64.65517114,0,5,3,5,706,192.23077,0,19,0,0,1167495,4125941,3,115,10406.50153,36776.69825,2.67E-02,1.025055932,24,0,183,0.213924716,0,1.631175962
0600000US1500393420,1500393420,60,Wahiawa,Honolulu County,Hawaii,21.5013002,-158.0263456,44706,54.6,45.4,16.5129007,1119.963863,11.1,1.7,25.9,35.5,9.6,0.3,24.6,6.6,16.4,28.3,13053,7.7,0,2,0.1,2.3,7.9,15.4,5.4,28.6,71.4,9,20,37.8,14.1,7.8,0,0.2,557000,1978,35.3,2380,68.4,12053,10.6,51.1,22.9,3.31,0.6,5.2,0.9,8.5,5,3.1,28.9,16.8,78.2,0.7,11.3,13.6,9.7,71.7,42.1,3.6,56.9,45.7,21.6,25.1,1.386095949,2,15.4,5.7,5.4,4.8,62867,76246,24.1,15.3,29396,4,3.2,24437,7.4,9.4,11.8,7.4,40,6,68.7,0.464711008,10.77036639,0.407,248.973607,23.31670823,135.021097,3.517891464,-2.702702703,0.465116279,1.291065924,7.9,5,0,0,381,191.91667,0,24.625,0,0,367267,1372995,1,22,8215.161276,30711.64944,2.24E-02,0.492103968,0,0,0,0,0,0
0600000US1500393510,1500393510,60,Waialua,Honolulu County,Hawaii,21.5800225,-158.1234063,13442,50.6,49.4,-4.170528267,122.3157801,8,2.5,32.7,44.8,2.7,0.3,21.9,6.5,16.8,35,4823,14.5,2.8,0.7,0,1.9,4.8,8.4,5,44.5,55.5,7.4,12.5,30.6,19.3,5.2,0,0.4,690100,2839,35.5,1904,60.6,4122,12.7,37.2,29,3.2,1.1,7.9,1.6,9.5,5.3,4.2,30.5,18.2,81.4,0.2,9.8,13.7,8.8,68.1,54.1,3.8,63.2,55.7,29.7,16.8,1.330066503,3.1,14.6,8.7,5.6,7.5,70888,93487,31,18.3,28836,2.6,2.5,30877,5,8.1,8.4,6.6,42,8,65.2,0,1.882160393,0.4463,147.5942783,82.92525773,185.6374172,-5.10038835,0,-1.328903654,37.84349819,15.3,5,1,3,247,192.72727,0,27.90909,0,0,92873,272330,0,23,6909.165303,20259.63398,0,1.711054903,37,208,25,2.752566582,15.47388781,1.859842285
0600000US1500393600,1500393600,60,Waianae,Honolulu County,Hawaii,21.4613654,-158.201974,50127,48.9,51.1,18.61851913,821.4394061,8.7,0.9,32.9,10.9,1.1,0.3,12,38,18.8,9.1,13493,10.6,0.4,2.4,0.1,2.1,3,10.8,4.7,58.8,41.2,3.5,10.5,26.7,24.3,12.2,0,1.1,386100,1932,27.8,1345,54.4,12058,20.5,47.8,33.6,3.99,1.4,9.5,3,9.9,3.6,7.2,45.9,9.8,86.3,0.5,1.9,8.3,5.8,60.4,51.8,7.8,56.3,50.2,47.5,26.3,0.824688797,1.8,14.1,4,9.3,4.7,64059,81406,37.4,25.5,25711,13.5,9.7,21084,17,22.4,29.7,9.3,40,12,74.8,0.183408578,4.081632653,0.4536,97.79411765,64.00679117,137.6,-2.286807744,-10.34482759,13.36515513,52.08849951,12.3,5,1,7,341,193.375,0,28,0,0,272986,1142421,3,56,5445.887446,22790.53205,5.98E-02,1.117162407,22,78,67,0.438885232,1.556047639,1.336605023
0600000US1500590990,1500590990,60,Kalawao,Kalawao County,Hawaii,21.2187644,-156.9740097,75,50.7,49.3,-48.97959184,6.25447843,5.3,4,57.1,21.3,2.7,2.7,28,25.3,2.7,21.3,92,48.9,0,14.8,0,0,0,2.2,3.2,4.3,95.7,10.6,19.1,23.4,29.8,21.3,0,0,,,,863,8.7,47,0,0,12.8,1.34,0,27.8,0,0,4.3,8.7,27.5,18.8,90.4,6.8,0,2.7,7,80.3,80.3,0,74.3,74.3,5.1,42.1,0,1.8,19.3,3.5,8.5,0,61875,74364,12.8,8.5,,4.3,4.3,47709,25,10.6,,0,71,7,0,0,16,0.3589,64.38095238,,,-4.3,,-60.46511628,77.30073608,53.9,5,0,0,11,194,0,19,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
